"","Word","Year","WordStart","vowel","coda_cons","foot","pre","pre_amb","br","br_amb","cr","unrel","unrel_amb","aff","aff_amb","sp","sp_amb","sp_full","sp_partial","sp_fp","release"
"1591","process","2005",202.6289911,"ou","s","medial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1592","procession","2015",139.0508444,"ɛ","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1593","produce","1983",191.1757373,"u","s","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1594","profess","1961",131.0871644,"ɛ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1595","progress","1957",345.7754791,"ɛ","s","final",1,1,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1596","progress","1958",79.83,"ɛ","s","final",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1597","progress","1964",231.7428482,"ɛ","s","final",1,1,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1598","progress","1983",156.2329703,"ɛ","s","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1599","progress","1983",203.192278,"ɛ","s","final",1,1,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1600","progress","2002",131.0984225,"ɛ","s","final",0,0,1,1,1,0,0,0,0,0,0,0,0,0,"normal release"
"1601","projects","2000",15.82784489,"ɛ","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1602","promotes","2018",227.1114771,"ou","t","final",0,0,0,0,1,0,0,0,0,0,0,0,0,0,"normal release"
"1603","promoting","2010",327.496167,"ou","t","medial",0,0,1,1,0,0,0,0,0,1,1,1,0,0,"spirantised"
"1604","prophets","1958",290.5774908,"ɒ","f","medial",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1605","prosperity","1964",126.1046681,"ɒ","s","initial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1606","prosperity","1964",297.29,"ɒ","s","initial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1607","prosperous","1958",279.8718695,"ɒ","s","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1608","provocation","1972",133.0510406,"ei","ʃ","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1609","provoked","2005",123.8809471,"ou","k","final",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"normal release"
"1610","purpose","2000",161.1168338,"ɜ","p","medial",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"normal release"
"1611","purpose","2000",172.9176356,"ɜ","p","medial",0,0,1,1,0,0,0,0,0,1,1,0,1,0,"spirantised"
